id,iteration_no,run_name,sent_id,error_type,gold_class,pred_class,gold_span,pred_span,eval_cond
0,first,mbert_train_diac,4,wrong_type,EVENT,ORG,"(72,73)","(72,73)",
1,first,mbert_train_diac,4,wrong_type,EVENT,ORG,"(3,4)","(3,4)",
2,first,mbert_train_diac,4,wrong_type,EVENT,ORG,"(54,55)","(54,55)",
3,first,mbert_train_diac,4,wrong_type,EVENT,ORG,"(92,110)","(92,110)",
4,first,mbert_train_diac,4,missed,ORDINAL,O,"(7,7)",,diac
5,first,mbert_train_diac,4,missed,DATETIME,O,"(77,80)",,diac
6,first,mbert_train_diac,6,wrong_boundary,NAT_REL_POL,NAT_REL_POL,"(45,47)","(45,45)",diac
7,first,mbert_train_diac,8,missed,WORK_OF_ART,O,"(22,27)",,diac
8,first,mbert_train_diac,9,wrong_boundary,DATETIME,DATETIME,"(3,4)","(3,3)",diac
9,first,mbert_train_diac,10,wrong_type,ORG,GPE,"(35,35)","(35,35)",
10,first,mbert_train_diac,10,spurious,O,PERSON,,"(80,80)",diac
11,first,mbert_train_diac,10,spurious,O,PERSON,,"(81,81)",diac
12,first,mbert_train_diac,10,spurious,O,PERSON,,"(82,82)",diac
13,first,mbert_train_diac,10,spurious,O,PERSON,,"(83,85)",diac
14,first,mbert_train_diac,17,wrong_type,GPE,PERSON,"(259,259)","(259,259)",
15,first,mbert_train_diac,17,wrong_type,GPE,PERSON,"(260,260)","(260,260)",
16,first,mbert_train_diac,17,wrong_type,GPE,PERSON,"(258,258)","(258,258)",
17,first,mbert_train_diac,17,wrong_boundary,NAT_REL_POL,NAT_REL_POL,"(19,20)","(19,19)",diac
18,first,mbert_train_diac,17,missed,WORK_OF_ART,O,"(36,47)",,diac
19,first,mbert_train_diac,17,missed,NAT_REL_POL,O,"(101,101)",,diac
20,first,mbert_train_diac,17,spurious,O,ORG,,"(41,47)",diac
21,first,mbert_train_diac,17,spurious,O,PERSON,,"(113,113)",diac
22,first,mbert_train_diac,19,spurious,O,PERSON,,"(13,13)",diac
23,first,mbert_train_diac,22,missed,PERIOD,O,"(18,18)",,diac
24,first,mbert_train_diac,22,missed,PERIOD,O,"(19,20)",,diac
25,first,mbert_train_diac,23,wrong_type,NUMERIC,QUANTITY,"(20,20)","(20,20)",
26,first,mbert_train_diac,23,missed,NUMERIC,O,"(21,21)",,diac
27,first,mbert_train_diac,23,missed,ORG,O,"(48,51)",,diac
28,first,mbert_train_diac,23,spurious,O,QUANTITY,,"(21,22)",diac
29,first,mbert_train_diac,23,spurious,O,PERSON,,"(48,50)",diac
30,first,mbert_train_diac,24,missed,NUMERIC,O,"(49,49)",,diac
31,first,mbert_train_diac,24,missed,NUMERIC,O,"(50,50)",,diac
32,first,mbert_train_diac,24,missed,NUMERIC,O,"(51,51)",,diac
33,first,mbert_train_diac,24,missed,NUMERIC,O,"(99,99)",,diac
34,first,mbert_train_diac,24,missed,ORDINAL,O,"(126,126)",,diac
35,first,mbert_train_diac,24,missed,ORDINAL,O,"(127,127)",,diac
36,first,mbert_train_diac,24,missed,ORDINAL,O,"(128,134)",,diac
37,first,mbert_train_diac,25,wrong_boundary,PERSON,PERSON,"(22,30)","(22,22)",diac
38,first,mbert_train_diac,29,missed,DATETIME,O,"(93,106)",,diac
39,first,mbert_train_diac,29,missed,GPE,O,"(109,109)",,diac
40,first,mbert_train_diac,31,wrong_boundary,DATETIME,DATETIME,"(39,60)","(39,47)",diac
41,first,mbert_train_diac,31,spurious,O,DATETIME,,"(52,60)",diac
42,first,mbert_train_diac,34,spurious,O,EVENT,,"(5,5)",diac
43,first,mbert_train_diac,35,missed,ORDINAL,O,"(2,3)",,diac
44,first,mbert_train_diac,35,missed,PERSON,O,"(52,52)",,diac
45,first,mbert_train_diac,35,spurious,O,DATETIME,,"(2,4)",diac
46,first,mbert_train_diac,36,wrong_boundary,PERSON,PERSON,"(45,51)","(45,48)",diac
47,first,mbert_train_diac,36,spurious,O,PERSON,,"(27,27)",diac
48,first,mbert_train_diac,36,spurious,O,PERSON,,"(28,28)",diac
49,first,mbert_train_diac,36,spurious,O,PERSON,,"(29,29)",diac
50,first,mbert_train_diac,36,spurious,O,PERSON,,"(30,30)",diac
51,first,mbert_train_diac,36,spurious,O,PERSON,,"(31,31)",diac
52,first,mbert_train_diac,46,spurious,O,PERSON,,"(46,46)",diac
53,first,mbert_train_diac,46,spurious,O,PERSON,,"(47,47)",diac
54,first,mbert_train_diac,46,spurious,O,PERSON,,"(48,48)",diac
55,first,mbert_train_diac,46,spurious,O,PERSON,,"(65,69)",diac
56,first,mbert_train_diac,47,wrong_boundary,GPE,GPE,"(35,37)","(35,35)",diac
57,first,mbert_train_diac,47,missed,LOC,O,"(39,41)",,diac
58,first,mbert_train_diac,47,spurious,O,PERSON,,"(71,71)",diac
59,first,mbert_train_diac,47,spurious,O,PERSON,,"(72,73)",diac
60,first,mbert_train_diac,51,spurious,O,PERSON,,"(47,47)",diac
61,first,mbert_train_diac,51,spurious,O,PERSON,,"(48,48)",diac
62,first,mbert_train_diac,51,spurious,O,PERSON,,"(49,49)",diac
63,first,mbert_train_diac,51,spurious,O,PERSON,,"(50,50)",diac
64,first,mbert_train_diac,51,spurious,O,PERSON,,"(51,51)",diac
65,first,mbert_train_diac,51,spurious,O,PERSON,,"(52,53)",diac
66,first,mbert_train_diac,52,wrong_boundary,PERSON,PERSON,"(44,46)","(44,48)",diac
67,first,mbert_train_diac,52,wrong_boundary,PERSON,PERSON,"(49,52)","(49,50)",diac
68,first,mbert_train_diac,52,spurious,O,GPE,,"(52,52)",diac
69,first,mbert_train_diac,52,spurious,O,EVENT,,"(64,67)",diac
70,first,mbert_train_diac,55,wrong_type,GPE,FACILITY,"(38,42)","(38,42)",
71,first,mbert_train_diac,55,wrong_type,GPE,ORG,"(12,12)","(12,12)",
72,first,mbert_train_diac,57,wrong_boundary,ORG,ORG,"(24,29)","(24,27)",diac
73,first,mbert_train_diac,59,missed,NAT_REL_POL,O,"(121,127)",,diac
74,first,mbert_train_diac,59,missed,NAT_REL_POL,O,"(129,129)",,diac
75,first,mbert_train_diac,59,missed,NAT_REL_POL,O,"(130,130)",,diac
76,first,mbert_train_diac,59,missed,NAT_REL_POL,O,"(131,132)",,diac
77,first,mbert_train_diac,64,missed,PERSON,O,"(128,128)",,diac
78,first,mbert_train_diac,64,spurious,O,PERSON,,"(45,45)",diac
79,first,mbert_train_diac,64,spurious,O,PERSON,,"(46,46)",diac
80,first,mbert_train_diac,64,spurious,O,PERSON,,"(47,49)",diac
81,first,mbert_train_diac,65,missed,PERSON,O,"(15,15)",,diac
82,first,mbert_train_diac,66,wrong_boundary,GPE,GPE,"(49,52)","(49,49)",diac
83,first,mbert_train_diac,71,missed,ORDINAL,O,"(10,12)",,diac
84,first,mbert_train_diac,74,missed,PERSON,O,"(55,60)",,diac
85,first,mbert_train_diac,74,missed,PERSON,O,"(87,95)",,diac
86,first,mbert_train_diac,74,spurious,O,GPE,,"(55,59)",diac
87,first,mbert_train_diac,75,missed,PERSON,O,"(20,21)",,diac
88,first,mbert_train_diac,80,wrong_boundary,GPE,GPE,"(17,22)","(20,22)",diac
89,first,mbert_train_diac,80,wrong_boundary,GPE,GPE,"(51,61)","(56,56)",diac
90,first,mbert_train_diac,80,spurious,O,GPE,,"(57,61)",diac
91,first,mbert_train_diac,81,wrong_boundary,PERSON,PERSON,"(9,12)","(9,10)",diac
92,first,mbert_train_diac,81,missed,FACILITY,O,"(40,49)",,diac
93,first,mbert_train_diac,82,wrong_boundary,ORDINAL,ORDINAL,"(17,18)","(17,17)",diac
94,first,mbert_train_diac,82,missed,PERSON,O,"(76,76)",,diac
95,first,mbert_train_diac,83,spurious,O,NAT_REL_POL,,"(15,19)",diac
96,first,mbert_train_diac,84,missed,FACILITY,O,"(72,80)",,diac
97,first,mbert_train_diac,84,missed,NAT_REL_POL,O,"(84,84)",,diac
98,first,mbert_train_diac,84,missed,NAT_REL_POL,O,"(85,88)",,diac
99,first,mbert_train_diac,84,missed,ORG,O,"(97,105)",,diac
100,first,mbert_train_diac,84,missed,NAT_REL_POL,O,"(175,180)",,diac
101,first,mbert_train_diac,84,spurious,O,ORG,,"(93,93)",diac
102,first,mbert_train_diac,84,spurious,O,ORG,,"(94,94)",diac
103,first,mbert_train_diac,84,spurious,O,ORG,,"(95,95)",diac
104,first,mbert_train_diac,84,spurious,O,ORG,,"(96,96)",diac
105,first,mbert_train_diac,87,wrong_type,FACILITY,ORG,"(13,20)","(13,20)",
106,first,mbert_train_diac,90,wrong_type,LOC,GPE,"(55,57)","(55,57)",
107,first,mbert_train_diac,90,wrong_type,LOC,GPE,"(47,49)","(47,49)",
108,first,mbert_train_diac,90,missed,PERSON,O,"(99,99)",,diac
109,first,mbert_train_diac,94,wrong_boundary,EVENT,EVENT,"(6,19)","(6,13)",diac
110,first,mbert_train_diac,94,spurious,O,GPE,,"(15,15)",diac
111,first,mbert_train_diac,94,spurious,O,GPE,,"(16,16)",diac
112,first,mbert_train_diac,94,spurious,O,GPE,,"(17,19)",diac
113,first,mbert_train_diac,95,missed,PERSON,O,"(13,13)",,diac
114,first,mbert_train_diac,95,missed,PERSON,O,"(14,20)",,diac
115,first,mbert_train_diac,98,wrong_type,GPE,ORG,"(51,51)","(51,51)",
116,first,mbert_train_diac,99,missed,PERSON,O,"(8,11)",,diac
117,first,mbert_train_diac,100,wrong_boundary,PERSON,PERSON,"(59,62)","(59,67)",diac
118,first,mbert_train_diac,100,missed,PERSON,O,"(24,24)",,diac
119,first,mbert_train_diac,100,missed,PERSON,O,"(26,26)",,diac
120,first,mbert_train_diac,100,missed,PERSON,O,"(39,39)",,diac
121,first,mbert_train_diac,100,missed,ORG,O,"(43,43)",,diac
122,first,mbert_train_diac,100,missed,PERSON,O,"(64,64)",,diac
123,first,mbert_train_diac,100,missed,PERSON,O,"(65,65)",,diac
124,first,mbert_train_diac,100,missed,PERSON,O,"(66,67)",,diac
125,first,mbert_train_diac,103,missed,DATETIME,O,"(33,36)",,diac
126,first,mbert_train_diac,106,wrong_boundary,LOC,LOC,"(42,61)","(42,48)",diac
127,first,mbert_train_diac,106,spurious,O,LOC,,"(56,60)",diac
128,first,mbert_train_diac,108,spurious,O,ORG,,"(83,83)",diac
