run,F1_diac,F1_nodiac,P_diac,P_nodiac,R_diac,R_nodiac
dbert_diac_first,0.7923,0.7682,0.7855,0.7645,0.7993,0.772
dbert_diac_second,0.7923,0.7682,0.7855,0.7645,0.7993,0.772
dbert_diac_third,0.7923,0.7682,0.7855,0.7645,0.7993,0.772
dbert_nodiac_first,0.808,0.8344,0.798,0.8148,0.8182,0.8549
dbert_nodiac_second,0.808,0.8344,0.798,0.8148,0.8182,0.8549
dbert_nodiac_third,0.808,0.8344,0.798,0.8148,0.8182,0.8549
mbert_diac_first,8.636,822.0,8.574,8.214,8.698,8.225
mbert_diac_second,8.751,8.369,8.668,833.0,8.836,8.408
mbert_diac_third,8.751,8.369,8.668,833.0,8.836,8.408
mbert_nodiac_first,0.8573,0.8648,0.8537,0.8572,0.8609,0.8726
mbert_nodiac_second,0.86,8.667,8.612,8.641,8.588,8.693
mbert_nodiac_third,0.8607,0.8676,0.8548,0.8615,0.8668,0.8739
mt5_diac_first,0.8199,0.7995,0.805,0.7856,0.8353,0.8139
mt5_diac_second,0.8428,0.8247,0.826,0.8078,0.8603,0.8423
mt5_diac_third,0.8428,0.8247,0.826,0.8078,0.8603,0.8423
mt5_nodiac_first,0.8112,0.8162,0.7931,0.7961,0.8301,0.8374
mt5_nodiac_second,0.8258,0.8335,0.8054,0.8126,0.8473,0.8556
mt5_nodiac_third,0.8047,0.8222,0.7894,0.8061,0.8207,0.8391
robert_diac_first,0.8677,0.8601,0.8565,0.8481,0.8793,0.8724
robert_diac_second,0.8743,0.8695,0.8587,0.8537,0.8906,0.8859
robert_diac_third,0.8635,0.851,0.8622,0.8511,0.8649,0.8509
robert_nodiac_first,0.8718,0.8711,0.8658,0.8662,0.8779,0.876
robert_nodiac_second,0.8682,0.8694,0.8565,0.8564,0.8803,0.8827
robert_nodiac_third,0.8676,0.867,0.8589,0.8594,0.8766,0.8747
