,run,eval,P,R,F1
0,mbert_diac_first,diac,8.574,8.698,8.636
1,mbert_diac_first,nodiac,8.214,8.225,822
0,mbert_diac_second,diac,8.668,8.836,8.751
1,mbert_diac_second,nodiac,833,8.408,8.369
0,mbert_diac_third,diac,8.668,8.836,8.751
1,mbert_diac_third,nodiac,833,8.408,8.369
0,mbert_nodiac_second,diac,8.612,8.588,0.86
1,mbert_nodiac_second,nodiac,8.641,8.693,8.6670
0,mbert_nodiac_first,diac,8.537,8.609,8.573
1,mbert_nodiac_first,nodiac,8.572,8.726,8.648
0,mbert_nodiac_third,diac,8.548,8.668,8.607
1,mbert_nodiac_third,nodiac,8.615,8.739,8.676
0,robert_diac_first,diac,8.565,8.793,8.677
1,robert_diac_first,nodiac,8.481,8.724,8.601
0,robert_diac_second,diac,8.587,8.906,8.743
1,robert_diac_second,nodiac,8.537,8.859,8.695
0,robert_diac_third,diac,8.622,8.649,8.635
1,robert_diac_third,nodiac,8.511,8.509,851
0,robert_nodiac_first,diac,8.658,8.779,8.718
1,robert_nodiac_first,nodiac,8.662,876,8.711
0,robert_nodiac_second,diac,8.565,8.803,8.682
1,robert_nodiac_second,nodiac,8.564,8.827,8.694
0,robert_nodiac_third,diac,8.589,8.766,8.676
1,robert_nodiac_third,nodiac,8.594,8.747,867
0,mt5_diac_first,diac,805,8.353,8.199
1,mt5_diac_first,nodiac,7.856,8.139,7.995
0,mt5_diac_second,diac,826,8.603,8.428
1,mt5_diac_second,nodiac,8.078,8.423,8.247
0,mt5_diac_third,diac,826,8.603,8.428
1,mt5_diac_third,nodiac,8.078,8.423,8.247
0,mt5_nodiac_first,diac,7.931,8.301,8.112
1,mt5_nodiac_first,nodiac,7.961,8.374,8.162
0,mt5_nodiac_second,diac,8.054,8.473,8.258
1,mt5_nodiac_second,nodiac,8.126,8.556,8.335
0,mt5_nodiac_third,diac,7.894,8.207,8.047
1,mt5_nodiac_third,nodiac,8.061,8.391,8.222
0,dbert_diac_first,diac,7.855,7.993,7.923
1,dbert_diac_first,nodiac,7.645,772,7.682
0,dbert_diac_second,diac,7.855,7.993,7.923
1,dbert_diac_second,nodiac,7.645,772,7.682
0,dbert_diac_third,diac,7.855,7.993,7.923
1,dbert_diac_third,nodiac,7.645,772,7.682
0,dbert_nodiac_first,diac,798,8.182,808
1,dbert_nodiac_first,nodiac,8.148,8.549,8.344
0,dbert_nodiac_second,diac,798,8.182,808
1,dbert_nodiac_second,nodiac,8.148,8.549,8.344
0,dbert_nodiac_third,diac,798,8.182,808
1,dbert_nodiac_third,nodiac,8.148,8.549,8.344
