,run,eval,P,R,F1
0,mbert_diac_first,diac,0.8574,0.8698,0.8636
1,mbert_diac_first,nodiac,0.8214,0.8225,0.822
0,mbert_diac_second,diac,0.8668,0.8836,0.8751
1,mbert_diac_second,nodiac,0.833,0.8408,0.8369
0,mbert_diac_third,diac,0.8668,0.8836,0.8751
1,mbert_diac_third,nodiac,0.833,0.8408,0.8369
0,mbert_nodiac_second,diac,0.8612,0.8588,0.86
1,mbert_nodiac_second,nodiac,0.8641,0.8693,0.86670
0,mbert_nodiac_first,diac,0.8537,0.8609,0.8573
1,mbert_nodiac_first,nodiac,0.8572,0.8726,0.8648
0,mbert_nodiac_third,diac,0.8548,0.8668,0.8607
1,mbert_nodiac_third,nodiac,0.8615,0.8739,0.8676
0,robert_diac_first,diac,0.8565,0.8793,0.8677
1,robert_diac_first,nodiac,0.8481,0.8724,0.8601
0,robert_diac_second,diac,0.8587,0.8906,0.8743
1,robert_diac_second,nodiac,0.8537,0.8859,0.8695
0,robert_diac_third,diac,0.8622,0.8649,0.8635
1,robert_diac_third,nodiac,0.8511,0.8509,0.851
0,robert_nodiac_first,diac,0.8658,0.8779,0.8718
1,robert_nodiac_first,nodiac,0.8662,0.876,0.8711
0,robert_nodiac_second,diac,0.8565,0.8803,0.8682
1,robert_nodiac_second,nodiac,0.8564,0.8827,0.8694
0,robert_nodiac_third,diac,0.8589,0.8766,0.8676
1,robert_nodiac_third,nodiac,0.8594,0.8747,0.867
0,mt5_diac_first,diac,0.805,0.8353,0.8199
1,mt5_diac_first,nodiac,0.7856,0.8139,0.7995
0,mt5_diac_second,diac,0.826,0.8603,0.8428
1,mt5_diac_second,nodiac,0.8078,0.8423,0.8247
0,mt5_diac_third,diac,0.826,0.8603,0.8428
1,mt5_diac_third,nodiac,0.8078,0.8423,0.8247
0,mt5_nodiac_first,diac,0.7931,0.8301,0.8112
1,mt5_nodiac_first,nodiac,0.7961,0.8374,0.8162
0,mt5_nodiac_second,diac,0.8054,0.8473,0.8258
1,mt5_nodiac_second,nodiac,0.8126,0.8556,0.8335
0,mt5_nodiac_third,diac,0.7894,0.8207,0.8047
1,mt5_nodiac_third,nodiac,0.8061,0.8391,0.8222
0,dbert_diac_first,diac,0.7855,0.7993,0.7923
1,dbert_diac_first,nodiac,0.7645,0.772,0.7682
0,dbert_diac_second,diac,0.7855,0.7993,0.7923
1,dbert_diac_second,nodiac,0.7645,0.772,0.7682
0,dbert_diac_third,diac,0.7855,0.7993,0.7923
1,dbert_diac_third,nodiac,0.7645,0.772,0.7682
0,dbert_nodiac_first,diac,0.798,0.8182,0.808
1,dbert_nodiac_first,nodiac,0.8148,0.8549,0.8344
0,dbert_nodiac_second,diac,0.798,0.8182,0.808
1,dbert_nodiac_second,nodiac,0.8148,0.8549,0.8344
0,dbert_nodiac_third,diac,0.798,0.8182,0.808
1,dbert_nodiac_third,nodiac,0.8148,0.8549,0.8344
