sent_idx,model,family,n_words,n_diac,tokens_nd,fertility_nd,unk_nd,scr_nd,tokens_d,fertility_d,unk_d,scr_d,delta_tokens,inflation
0,mbert,Multilingual,11,1,18,1.6363636363636365,0,0.16666666666666666,19,1.7272727272727273,0,0.21052631578947367,1,0.05555555555555555
0,xlmr,Multilingual,11,1,15,1.3636363636363635,0,0.13333333333333333,15,1.3636363636363635,0,0.13333333333333333,0,0.0
0,ro_bert,Monolingual,11,1,16,1.4545454545454546,0,0.25,16,1.4545454545454546,0,0.25,0,0.0
0,robert,Monolingual,11,1,18,1.6363636363636365,0,0.2777777777777778,18,1.6363636363636365,0,0.2777777777777778,0,0.0
1,mbert,Multilingual,11,3,16,1.4545454545454546,0,0.0625,16,1.4545454545454546,0,0.125,0,0.0
1,xlmr,Multilingual,11,3,13,1.1818181818181819,0,0.07692307692307693,15,1.3636363636363635,0,0.13333333333333333,2,0.15384615384615385
1,ro_bert,Monolingual,11,3,12,1.0909090909090908,0,0.08333333333333333,12,1.0909090909090908,0,0.08333333333333333,0,0.0
1,robert,Monolingual,11,3,13,1.1818181818181819,0,0.15384615384615385,13,1.1818181818181819,0,0.15384615384615385,0,0.0
2,mbert,Multilingual,19,4,40,2.1052631578947367,0,0.125,38,2.0,0,0.10526315789473684,-2,-0.05
2,xlmr,Multilingual,19,4,32,1.6842105263157894,0,0.15625,32,1.6842105263157894,0,0.15625,0,0.0
2,ro_bert,Monolingual,19,4,29,1.5263157894736843,0,0.1724137931034483,29,1.5263157894736843,0,0.1724137931034483,0,0.0
2,robert,Monolingual,19,4,31,1.631578947368421,0,0.16129032258064516,31,1.631578947368421,0,0.16129032258064516,0,0.0
3,mbert,Multilingual,8,4,15,1.875,0,0.13333333333333333,17,2.125,0,0.23529411764705882,2,0.13333333333333333
3,xlmr,Multilingual,8,4,16,2.0,0,0.25,17,2.125,0,0.23529411764705882,1,0.0625
3,ro_bert,Monolingual,8,4,14,1.75,0,0.14285714285714285,13,1.625,0,0.15384615384615385,-1,-0.07142857142857142
3,robert,Monolingual,8,4,15,1.875,0,0.26666666666666666,14,1.75,0,0.21428571428571427,-1,-0.06666666666666667
4,mbert,Multilingual,13,6,31,2.3846153846153846,0,0.22580645161290322,34,2.6153846153846154,0,0.29411764705882354,3,0.0967741935483871
4,xlmr,Multilingual,13,6,28,2.1538461538461537,0,0.21428571428571427,30,2.3076923076923075,0,0.23333333333333334,2,0.07142857142857142
4,ro_bert,Monolingual,13,6,25,1.9230769230769231,0,0.16,26,2.0,0,0.15384615384615385,1,0.04
4,robert,Monolingual,13,6,25,1.9230769230769231,0,0.16,28,2.1538461538461537,0,0.17857142857142858,3,0.12
5,mbert,Multilingual,96,33,188,1.9583333333333333,0,0.13829787234042554,198,2.0625,0,0.1919191919191919,10,0.05319148936170213
