id,source,input,target,input_clean,target_clean,stripped_target,exact_after_cleaning,whitespace_difference,audit_reason,is_valid_pair,input_before_n_chars,input_before_n_nfd_codepoints,input_before_n_combining_in_raw,input_before_n_legacy_cedilla,input_before_n_nbsp,input_before_n_unusual_punct,input_before_is_nfc,input_before_is_nfd,target_before_n_chars,target_before_n_nfd_codepoints,target_before_n_combining_in_raw,target_before_n_legacy_cedilla,target_before_n_nbsp,target_before_n_unusual_punct,target_before_is_nfc,target_before_is_nfd,input_after_n_chars,input_after_n_nfd_codepoints,input_after_n_combining_in_raw,input_after_n_legacy_cedilla,input_after_n_nbsp,input_after_n_unusual_punct,input_after_is_nfc,input_after_is_nfd,target_after_n_chars,target_after_n_nfd_codepoints,target_after_n_combining_in_raw,target_after_n_legacy_cedilla,target_after_n_nbsp,target_after_n_unusual_punct,target_after_is_nfc,target_after_is_nfd,text_nodiac,text_diac,n_chars,n_words,n_diac_restored
303702,unknown_local_sample,Coloratura pielii.,Coloratura pielii.,Coloratura pielii.,Coloratura pielii.,Coloratura pielii.,True,False,length_outside_3_250_words,True,18,0,0,0,0,0,True,True,18,0,0,0,0,0,True,True,18,0,0,0,0,0,True,True,18,0,0,0,0,0,True,True,Coloratura pielii.,Coloratura pielii.,18,2,0
253890,unknown_local_sample,Umbra se-ndeseste.,Umbra se-ndesește.,Umbra se-ndeseste.,Umbra se-ndesește.,Umbra se-ndeseste.,True,False,length_outside_3_250_words,True,18,0,0,0,0,0,True,True,18,1,0,0,0,0,True,False,18,0,0,0,0,0,True,True,18,1,0,0,0,0,True,False,Umbra se-ndeseste.,Umbra se-ndesește.,18,2,1
293506,unknown_local_sample,Catena ciclica.,Catenă ciclică.,Catena ciclica.,Catenă ciclică.,Catena ciclica.,True,False,length_outside_3_250_words,True,15,0,0,0,0,0,True,True,15,2,0,0,0,0,True,False,15,0,0,0,0,0,True,True,15,2,0,0,0,0,True,False,Catena ciclica.,Catenă ciclică.,15,2,2
157387,unknown_local_sample,Redactia RL.,Redacția RL.,Redactia RL.,Redacția RL.,Redactia RL.,True,False,length_outside_3_250_words,True,12,0,0,0,0,0,True,True,12,1,0,0,0,0,True,False,12,0,0,0,0,0,True,True,12,1,0,0,0,0,True,False,Redactia RL.,Redacția RL.,12,2,1
342419,unknown_local_sample,Partid muncitoresc.,Partid muncitoresc.,Partid muncitoresc.,Partid muncitoresc.,Partid muncitoresc.,True,False,length_outside_3_250_words,True,19,0,0,0,0,0,True,True,19,0,0,0,0,0,True,True,19,0,0,0,0,0,True,True,19,0,0,0,0,0,True,True,Partid muncitoresc.,Partid muncitoresc.,19,2,0
357997,unknown_local_sample,Umeri sculpturali.,Umeri sculpturali.,Umeri sculpturali.,Umeri sculpturali.,Umeri sculpturali.,True,False,length_outside_3_250_words,True,18,0,0,0,0,0,True,True,18,0,0,0,0,0,True,True,18,0,0,0,0,0,True,True,18,0,0,0,0,0,True,True,Umeri sculpturali.,Umeri sculpturali.,18,2,0
229715,unknown_local_sample,Curent voltaic.,Curent voltaic.,Curent voltaic.,Curent voltaic.,Curent voltaic.,True,False,length_outside_3_250_words,True,15,0,0,0,0,0,True,True,15,0,0,0,0,0,True,True,15,0,0,0,0,0,True,True,15,0,0,0,0,0,True,True,Curent voltaic.,Curent voltaic.,15,2,0
68352,unknown_local_sample,Potrivit art.,Potrivit art.,Potrivit art.,Potrivit art.,Potrivit art.,True,False,length_outside_3_250_words,True,13,0,0,0,0,0,True,True,13,0,0,0,0,0,True,True,13,0,0,0,0,0,True,True,13,0,0,0,0,0,True,True,Potrivit art.,Potrivit art.,13,2,0
246808,unknown_local_sample,Imn national.,Imn național.,Imn national.,Imn național.,Imn national.,True,False,length_outside_3_250_words,True,13,0,0,0,0,0,True,True,13,1,0,0,0,0,True,False,13,0,0,0,0,0,True,True,13,1,0,0,0,0,True,False,Imn national.,Imn național.,13,2,1
247369,unknown_local_sample,Materie inconsistenta.,Materie inconsistentă.,Materie inconsistenta.,Materie inconsistentă.,Materie inconsistenta.,True,False,length_outside_3_250_words,True,22,0,0,0,0,0,True,True,22,1,0,0,0,0,True,False,22,0,0,0,0,0,True,True,22,1,0,0,0,0,True,False,Materie inconsistenta.,Materie inconsistentă.,22,2,1
348520,unknown_local_sample,Studiu toponimic.,Studiu toponimic.,Studiu toponimic.,Studiu toponimic.,Studiu toponimic.,True,False,length_outside_3_250_words,True,17,0,0,0,0,0,True,True,17,0,0,0,0,0,True,True,17,0,0,0,0,0,True,True,17,0,0,0,0,0,True,True,Studiu toponimic.,Studiu toponimic.,17,2,0
255290,unknown_local_sample,Ingustimea cararii.,Îngustimea cărării.,Ingustimea cararii.,Îngustimea cărării.,Ingustimea cararii.,True,False,length_outside_3_250_words,True,19,0,0,0,0,0,True,True,19,3,0,0,0,0,True,False,19,0,0,0,0,0,True,True,19,3,0,0,0,0,True,False,Ingustimea cararii.,Îngustimea cărării.,19,2,3
43014,unknown_local_sample,"Roboru’, adica.","Roboru’, adică.","Roboru’, adica.","Roboru’, adică.","Roboru’, adica.",True,False,length_outside_3_250_words,True,15,0,0,0,0,1,True,True,15,1,0,0,0,1,True,False,15,0,0,0,0,1,True,True,15,1,0,0,0,1,True,False,"Roboru’, adica.","Roboru’, adică.",15,2,1
341978,unknown_local_sample,"Iaca, mucosu...","Iaca, mucosu...","Iaca, mucosu...","Iaca, mucosu...","Iaca, mucosu...",True,False,length_outside_3_250_words,True,15,0,0,0,0,0,True,True,15,0,0,0,0,0,True,True,15,0,0,0,0,0,True,True,15,0,0,0,0,0,True,True,"Iaca, mucosu...","Iaca, mucosu...",15,2,0
375726,unknown_local_sample,Pavarea drumurilor.,Pavarea drumurilor.,Pavarea drumurilor.,Pavarea drumurilor.,Pavarea drumurilor.,True,False,length_outside_3_250_words,True,19,0,0,0,0,0,True,True,19,0,0,0,0,0,True,True,19,0,0,0,0,0,True,True,19,0,0,0,0,0,True,True,Pavarea drumurilor.,Pavarea drumurilor.,19,2,0
241281,unknown_local_sample,Muschi glotali.,Mușchi glotali.,Muschi glotali.,Mușchi glotali.,Muschi glotali.,True,False,length_outside_3_250_words,True,15,0,0,0,0,0,True,True,15,1,0,0,0,0,True,False,15,0,0,0,0,0,True,True,15,1,0,0,0,0,True,False,Muschi glotali.,Mușchi glotali.,15,2,1
326008,unknown_local_sample,Materie flasca.,Materie flască.,Materie flasca.,Materie flască.,Materie flasca.,True,False,length_outside_3_250_words,True,15,0,0,0,0,0,True,True,15,1,0,0,0,0,True,False,15,0,0,0,0,0,True,True,15,1,0,0,0,0,True,False,Materie flasca.,Materie flască.,15,2,1
190380,unknown_local_sample,Preturi sarate.,Prețuri sărate.,Preturi sarate.,Prețuri sărate.,Preturi sarate.,True,False,length_outside_3_250_words,True,15,0,0,0,0,0,True,True,15,2,0,0,0,0,True,False,15,0,0,0,0,0,True,True,15,2,0,0,0,0,True,False,Preturi sarate.,Prețuri sărate.,15,2,2
110822,unknown_local_sample,Adevarat.,Adevărat.,Adevarat.,Adevărat.,Adevarat.,True,False,length_outside_3_250_words,True,9,0,0,0,0,0,True,True,9,1,0,0,0,0,True,False,9,0,0,0,0,0,True,True,9,1,0,0,0,0,True,False,Adevarat.,Adevărat.,9,1,1
