sent_idx,id,source,model,family,n_words,n_diac,tokens_nd,fertility_nd,unk_nd,scr_nd,tokens_d,fertility_d,unk_d,scr_d,delta_tokens,inflation
0,151189,unknown_local_sample,mbert,Multilingual,11,1,18,1.6363636363636365,0,0.16666666666666666,19,1.7272727272727273,0,0.21052631578947367,1,0.05555555555555555
0,151189,unknown_local_sample,xlmr,Multilingual,11,1,15,1.3636363636363635,0,0.13333333333333333,15,1.3636363636363635,0,0.13333333333333333,0,0.0
0,151189,unknown_local_sample,mt5,Multilingual,11,1,18,1.6363636363636365,0,0.23529411764705882,19,1.7272727272727273,0,0.2222222222222222,1,0.05555555555555555
0,151189,unknown_local_sample,rembert,Multilingual,11,1,17,1.5454545454545454,0,0.25,17,1.5454545454545454,0,0.23529411764705882,0,0.0
0,151189,unknown_local_sample,ro_bert,Monolingual,11,1,16,1.4545454545454546,0,0.25,16,1.4545454545454546,0,0.25,0,0.0
0,151189,unknown_local_sample,robert,Monolingual,11,1,18,1.6363636363636365,0,0.2777777777777778,18,1.6363636363636365,0,0.2777777777777778,0,0.0
1,24105,unknown_local_sample,mbert,Multilingual,11,3,16,1.4545454545454546,0,0.0625,16,1.4545454545454546,0,0.125,0,0.0
1,24105,unknown_local_sample,xlmr,Multilingual,11,3,13,1.1818181818181819,0,0.07692307692307693,15,1.3636363636363635,0,0.13333333333333333,2,0.15384615384615385
1,24105,unknown_local_sample,mt5,Multilingual,11,3,17,1.5454545454545454,0,0.125,17,1.5454545454545454,0,0.125,0,0.0
1,24105,unknown_local_sample,rembert,Multilingual,11,3,15,1.3636363636363635,0,0.13333333333333333,14,1.2727272727272727,0,0.14285714285714285,-1,-0.06666666666666667
1,24105,unknown_local_sample,ro_bert,Monolingual,11,3,12,1.0909090909090908,0,0.08333333333333333,12,1.0909090909090908,0,0.08333333333333333,0,0.0
1,24105,unknown_local_sample,robert,Monolingual,11,3,13,1.1818181818181819,0,0.15384615384615385,13,1.1818181818181819,0,0.15384615384615385,0,0.0
2,334539,unknown_local_sample,mbert,Multilingual,19,4,40,2.1052631578947367,0,0.125,38,2.0,0,0.10526315789473684,-2,-0.05
2,334539,unknown_local_sample,xlmr,Multilingual,19,4,32,1.6842105263157894,0,0.15625,32,1.6842105263157894,0,0.15625,0,0.0
