source,model,display,family,vocab_nd,vocab_d,shared,only_nd,only_d,overlap_pct,mean_jaccard,std_jaccard
ALL,mbert,mBERT,Multilingual,11434,10979,10497,937,482,88.09164149043303,0.6166893649837237,0.15658796930768712
ALL,xlmr,XLM-R,Multilingual,15470,14964,13911,1559,1053,84.19173273618593,0.607991653162336,0.15853823376737872
ALL,mt5,mT5,Multilingual,17390,16329,15357,2033,972,83.63468031804814,0.6129548973857342,0.15602057614805273
ALL,rembert,RemBERT,Multilingual,17646,17132,15722,1924,1410,82.50419815281276,0.5957143133800697,0.15943131568613156
ALL,ro_bert,RO-BERT,Monolingual,21566,26790,18961,2605,7829,64.50416737540398,0.592274287018211,0.1618348696187095
ALL,robert,RoBERT,Monolingual,15929,18777,14367,1562,4410,70.63769113525738,0.6325819276528456,0.15905411026832278
unknown_local_sample,mbert,mBERT,Multilingual,11434,10979,10497,937,482,88.09164149043303,0.6166893649837237,0.15658796930768712
unknown_local_sample,xlmr,XLM-R,Multilingual,15470,14964,13911,1559,1053,84.19173273618593,0.607991653162336,0.15853823376737872
unknown_local_sample,mt5,mT5,Multilingual,17390,16329,15357,2033,972,83.63468031804814,0.6129548973857342,0.15602057614805273
unknown_local_sample,rembert,RemBERT,Multilingual,17646,17132,15722,1924,1410,82.50419815281276,0.5957143133800697,0.15943131568613156
unknown_local_sample,ro_bert,RO-BERT,Monolingual,21566,26790,18961,2605,7829,64.50416737540398,0.592274287018211,0.1618348696187095
unknown_local_sample,robert,RoBERT,Monolingual,15929,18777,14367,1562,4410,70.63769113525738,0.6325819276528456,0.15905411026832278
