word_diac,word_nodiac,model,display,family,cos_dist
fat?,fata,mbert,mBERT,Multilingual,0.4135082960128784
fat?,fata,xlmr,XLM-R,Multilingual,0.015689432621002197
fat?,fata,mt5,mT5,Multilingual,0.3960723876953125
fat?,fata,rembert,RemBERT,Multilingual,0.6214336156845093
fat?,fata,ro_bert,RO-BERT,Monolingual,0.4013482332229614
fat?,fata,robert,RoBERT,Monolingual,0.3674495816230774
c?nt,cant,mbert,mBERT,Multilingual,0.5671835541725159
c?nt,cant,xlmr,XLM-R,Multilingual,0.0144461989402771
c?nt,cant,mt5,mT5,Multilingual,1.2282114773988724
c?nt,cant,rembert,RemBERT,Multilingual,0.5279846787452698
c?nt,cant,ro_bert,RO-BERT,Monolingual,0.5209164619445801
c?nt,cant,robert,RoBERT,Monolingual,0.42061924934387207
?ar?,tara,mbert,mBERT,Multilingual,0.6226403117179871
?ar?,tara,xlmr,XLM-R,Multilingual,0.024173498153686523
?ar?,tara,mt5,mT5,Multilingual,0.7322492897510529
?ar?,tara,rembert,RemBERT,Multilingual,0.7199887931346893
?ar?,tara,ro_bert,RO-BERT,Monolingual,0.5590854585170746
?ar?,tara,robert,RoBERT,Monolingual,0.47168952226638794
p?inea,painea,mbert,mBERT,Multilingual,0.44330644607543945
p?inea,painea,xlmr,XLM-R,Multilingual,0.00898134708404541
p?inea,painea,mt5,mT5,Multilingual,1.2062047272920609
p?inea,painea,rembert,RemBERT,Multilingual,0.29520517587661743
p?inea,painea,ro_bert,RO-BERT,Monolingual,0.43402647972106934
p?inea,painea,robert,RoBERT,Monolingual,0.26854151487350464
studen?ii,studentii,mbert,mBERT,Multilingual,0.42012131214141846
studen?ii,studentii,xlmr,XLM-R,Multilingual,0.007485687732696533
studen?ii,studentii,mt5,mT5,Multilingual,0.5564070343971252
studen?ii,studentii,rembert,RemBERT,Multilingual,0.26410478353500366
studen?ii,studentii,ro_bert,RO-BERT,Monolingual,0.4863276481628418
studen?ii,studentii,robert,RoBERT,Monolingual,0.2543213963508606
m?nc?rii,mancarii,mbert,mBERT,Multilingual,0.5868145823478699
m?nc?rii,mancarii,xlmr,XLM-R,Multilingual,0.008662223815917969
m?nc?rii,mancarii,mt5,mT5,Multilingual,0.2321038842201233
m?nc?rii,mancarii,rembert,RemBERT,Multilingual,0.5461218953132629
m?nc?rii,mancarii,ro_bert,RO-BERT,Monolingual,0.5667716264724731
m?nc?rii,mancarii,robert,RoBERT,Monolingual,0.48062247037887573
mul?umit,multumit,mbert,mBERT,Multilingual,0.42088162899017334
mul?umit,multumit,xlmr,XLM-R,Multilingual,0.012673497200012207
mul?umit,multumit,mt5,mT5,Multilingual,0.27941811084747314
mul?umit,multumit,rembert,RemBERT,Multilingual,0.17547273635864258
mul?umit,multumit,ro_bert,RO-BERT,Monolingual,0.5675021409988403
mul?umit,multumit,robert,RoBERT,Monolingual,0.30669426918029785
ora?ul,orasul,mbert,mBERT,Multilingual,0.3125792145729065
ora?ul,orasul,xlmr,XLM-R,Multilingual,0.004170417785644531
ora?ul,orasul,mt5,mT5,Multilingual,0.4780506491661072
ora?ul,orasul,rembert,RemBERT,Multilingual,0.21884965896606445
ora?ul,orasul,ro_bert,RO-BERT,Monolingual,0.48593759536743164
ora?ul,orasul,robert,RoBERT,Monolingual,0.2545182704925537
c?lduroas?,calduroasa,mbert,mBERT,Multilingual,0.4147219657897949
c?lduroas?,calduroasa,xlmr,XLM-R,Multilingual,0.00665128231048584
c?lduroas?,calduroasa,mt5,mT5,Multilingual,0.33663105964660645
c?lduroas?,calduroasa,rembert,RemBERT,Multilingual,0.2244778871536255
c?lduroas?,calduroasa,ro_bert,RO-BERT,Monolingual,0.4772821068763733
c?lduroas?,calduroasa,robert,RoBERT,Monolingual,0.46447110176086426
