model,display,layer_index,relative_depth,cosine_similarity
mbert,mBERT,0,0.0,0.9999999403953552
mbert,mBERT,1,0.08333333333333333,0.9996543860435486
mbert,mBERT,2,0.16666666666666666,0.9999250960350037
mbert,mBERT,3,0.25,0.9999502992630005
mbert,mBERT,4,0.3333333333333333,0.9998483264446258
mbert,mBERT,5,0.4166666666666667,0.9845946168899536
mbert,mBERT,6,0.5,0.97798872590065
mbert,mBERT,7,0.5833333333333334,0.9718351221084595
mbert,mBERT,8,0.6666666666666666,0.9626586294174194
mbert,mBERT,9,0.75,0.965609745979309
mbert,mBERT,10,0.8333333333333334,0.9622145009040832
mbert,mBERT,11,0.9166666666666666,0.964279078245163
mbert,mBERT,12,1.0,0.9473283740878106
xlmr,XLM-R,0,0.0,0.9999995827674866
xlmr,XLM-R,1,0.08333333333333333,0.9999737823009491
xlmr,XLM-R,2,0.16666666666666666,0.999994512796402
xlmr,XLM-R,3,0.25,0.99999706864357
xlmr,XLM-R,4,0.3333333333333333,0.9999974155426026
xlmr,XLM-R,5,0.4166666666666667,0.9999926841259003
xlmr,XLM-R,6,0.5,0.9999995946884155
xlmr,XLM-R,7,0.5833333333333334,0.9999993169307708
xlmr,XLM-R,8,0.6666666666666666,0.9999996018409729
xlmr,XLM-R,9,0.75,0.9999996507167817
xlmr,XLM-R,10,0.8333333333333334,0.9999965488910675
xlmr,XLM-R,11,0.9166666666666666,0.9999812042713165
xlmr,XLM-R,12,1.0,0.9993055427074432
mt5,mT5,0,0.0,0.8346686997637153
mt5,mT5,1,0.08333333333333333,0.885090514421463
mt5,mT5,2,0.16666666666666666,0.893428807258606
mt5,mT5,3,0.25,0.91539590716362
mt5,mT5,4,0.3333333333333333,0.9283327269554138
mt5,mT5,5,0.4166666666666667,0.9067222738265991
mt5,mT5,6,0.5,0.8986470997333527
mt5,mT5,7,0.5833333333333334,0.901802989244461
mt5,mT5,8,0.6666666666666666,0.9017075753211975
mt5,mT5,9,0.75,0.9046549713611602
mt5,mT5,10,0.8333333333333334,0.9021811521053315
mt5,mT5,11,0.9166666666666666,0.8993811476230621
mt5,mT5,12,1.0,0.8464908829331398
rembert,RemBERT,0,0.0,1.000000238418579
rembert,RemBERT,1,0.03125,0.9955919313430787
rembert,RemBERT,2,0.0625,0.9898898899555206
rembert,RemBERT,3,0.09375,0.9851120448112488
rembert,RemBERT,4,0.125,0.9812969243526459
rembert,RemBERT,5,0.15625,0.9817951035499572
rembert,RemBERT,6,0.1875,0.9834725344181061
rembert,RemBERT,7,0.21875,0.989302989244461
rembert,RemBERT,8,0.25,0.9900549852848053
rembert,RemBERT,9,0.28125,0.98914266705513
rembert,RemBERT,10,0.3125,0.9889968514442444
rembert,RemBERT,11,0.34375,0.9889007389545441
rembert,RemBERT,12,0.375,0.993972452878952
rembert,RemBERT,13,0.40625,0.9951865124702454
rembert,RemBERT,14,0.4375,0.9977474308013916
rembert,RemBERT,15,0.46875,0.9976623821258545
rembert,RemBERT,16,0.5,0.9982880079746246
rembert,RemBERT,17,0.53125,0.99859783411026
rembert,RemBERT,18,0.5625,0.9994065415859222
rembert,RemBERT,19,0.59375,0.9992368650436402
rembert,RemBERT,20,0.625,0.9983356368541717
rembert,RemBERT,21,0.65625,0.9981196105480195
rembert,RemBERT,22,0.6875,0.995995090007782
rembert,RemBERT,23,0.71875,0.9955876398086548
rembert,RemBERT,24,0.75,0.982977283000946
rembert,RemBERT,25,0.78125,0.9782592523097992
rembert,RemBERT,26,0.8125,0.9808476257324219
rembert,RemBERT,27,0.84375,0.9827927827835083
rembert,RemBERT,28,0.875,0.9888035905361175
rembert,RemBERT,29,0.90625,0.989016808271408
rembert,RemBERT,30,0.9375,0.9812703430652618
rembert,RemBERT,31,0.96875,0.9711478126049041
rembert,RemBERT,32,1.0,0.959400144815445
ro_bert,RO-BERT,0,0.0,0.9999998807907104
ro_bert,RO-BERT,1,0.08333333333333333,0.9998205184936524
ro_bert,RO-BERT,2,0.16666666666666666,0.9992882776260376
ro_bert,RO-BERT,3,0.25,0.9993548917770386
ro_bert,RO-BERT,4,0.3333333333333333,0.9977645289897918
ro_bert,RO-BERT,5,0.4166666666666667,0.9926269626617432
ro_bert,RO-BERT,6,0.5,0.9914238715171814
ro_bert,RO-BERT,7,0.5833333333333334,0.9889890491962433
ro_bert,RO-BERT,8,0.6666666666666666,0.9856442475318908
ro_bert,RO-BERT,9,0.75,0.9834237933158875
ro_bert,RO-BERT,10,0.8333333333333334,0.9777456974983215
ro_bert,RO-BERT,11,0.9166666666666666,0.9663257038593293
ro_bert,RO-BERT,12,1.0,0.9228741145133972
robert,RoBERT,0,0.0,1.0
robert,RoBERT,1,0.08333333333333333,0.9996489095687866
robert,RoBERT,2,0.16666666666666666,0.9995580875873565
robert,RoBERT,3,0.25,0.9977743208408356
robert,RoBERT,4,0.3333333333333333,0.9967702162265778
robert,RoBERT,5,0.4166666666666667,0.988940612077713
robert,RoBERT,6,0.5,0.9876226115226746
robert,RoBERT,7,0.5833333333333334,0.9734379243850708
robert,RoBERT,8,0.6666666666666666,0.9687331998348236
robert,RoBERT,9,0.75,0.972764081954956
robert,RoBERT,10,0.8333333333333334,0.9772897160053253
robert,RoBERT,11,0.9166666666666666,0.9703760766983032
robert,RoBERT,12,1.0,0.9283382952213287
